Rebalance(time=1481551236650129077, exchange='IEX', name='VXX', holding=0, fairvalue=28.384999999999998, Profit=0.0)
Rebalance(time=1481551236651408026, exchange='IEX', name='VXX', holding=0, fairvalue=25.94, Profit=0.0)
Rebalance(time=1481551236652745706, exchange='IEX', name='VXX', holding=0, fairvalue=25.935000000000002, Profit=0.0)
Rebalance(time=1481551236653945434, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
Rebalance(time=1481551236656528021, exchange='IEX', name='VXX', holding=0, fairvalue=25.905, Profit=0.0)
Rebalance(time=1481551236911945045, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
Rebalance(time=1481551236914219681, exchange='IEX', name='VXX', holding=0, fairvalue=25.89, Profit=0.0)
Rebalance(time=1481551275604811873, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
Rebalance(time=1481551275607164038, exchange='IEX', name='VXX', holding=0, fairvalue=25.924999999999997, Profit=0.0)
Rebalance(time=1481551276219747174, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
Rebalance(time=1481551276222094987, exchange='IEX', name='VXX', holding=0, fairvalue=25.89, Profit=0.0)
Rebalance(time=1481551293429322338, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
Rebalance(time=1481551293431364760, exchange='IEX', name='VXX', holding=0, fairvalue=25.905, Profit=0.0)
Rebalance(time=1481551293432082472, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
Rebalance(time=1481551293434838252, exchange='IEX', name='VXX', holding=0, fairvalue=25.935000000000002, Profit=0.0)
Rebalance(time=1481551294513366651, exchange='IEX', name='VXX', holding=0, fairvalue=25.955, Profit=0.0)
Rebalance(time=1481551295678996208, exchange='IEX', name='VXX', holding=0, fairvalue=25.935000000000002, Profit=0.0)
Rebalance(time=1481551296944608502, exchange='IEX', name='VXX', holding=0, fairvalue=25.955, Profit=0.0)
Rebalance(time=1481551310699203230, exchange='IEX', name='VXX', holding=0, fairvalue=25.96, Profit=0.0)
Rebalance(time=1481551310719409217, exchange='IEX', name='VXX', holding=0, fairvalue=25.955, Profit=0.0)
Rebalance(time=1481551328144470018, exchange='IEX', name='VXX', holding=0, fairvalue=28.4, Profit=0.0)
Rebalance(time=1481551328146819066, exchange='IEX', name='VXX', holding=0, fairvalue=25.97, Profit=0.0)
Rebalance(time=1481551328295829273, exchange='IEX', name='VXX', holding=0, fairvalue=25.95, Profit=0.0)
Rebalance(time=1481551329517021627, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
Rebalance(time=1481551329519049127, exchange='IEX', name='VXX', holding=0, fairvalue=25.935000000000002, Profit=0.0)
Rebalance(time=1481551329520624729, exchange='IEX', name='VXX', holding=0, fairvalue=25.955, Profit=0.0)
Rebalance(time=1481551466057472988, exchange='IEX', name='VXX', holding=0, fairvalue=25.935000000000002, Profit=0.0)
Rebalance(time=1481551466059797025, exchange='IEX', name='VXX', holding=0, fairvalue=25.94, Profit=0.0)
Rebalance(time=1481551470220092828, exchange='IEX', name='VXX', holding=0, fairvalue=25.935000000000002, Profit=0.0)
