currency,time,bid,ask
EUR/GBP,20190101 22:06:23.308,0.89738,0.9017
EUR/GBP,20190101 22:06:23.365,0.89716,0.9017
EUR/GBP,20190101 22:06:23.366,0.89744,0.90171
EUR/GBP,20190101 22:06:23.369,0.89749,0.90171
EUR/GBP,20190101 22:06:23.374,0.89738,0.9017
EUR/GBP,20190101 22:06:23.431,0.89744,0.90173
EUR/GBP,20190101 22:06:23.441,0.89749,0.90171
EUR/GBP,20190101 22:06:23.494,0.89716,0.9017
EUR/GBP,20190101 22:06:23.497,0.89713,0.9017
EUR/GBP,20190101 22:06:23.501,0.89738,0.9017
EUR/GBP,20190101 22:06:23.509,0.89744,0.90171
EUR/GBP,20190101 22:06:23.565,0.89738,0.9017
EUR/GBP,20190101 22:06:23.571,0.89744,0.90173
EUR/GBP,20190101 22:06:23.575,0.89738,0.9017
EUR/GBP,20190101 22:06:23.635,0.89749,0.90171
EUR/GBP,20190101 22:06:23.639,0.89739,0.9017
EUR/GBP,20190101 22:06:23.644,0.89744,0.90171
EUR/GBP,20190101 22:06:23.645,0.89716,0.9017
EUR/GBP,20190101 22:06:23.649,0.89749,0.90171
EUR/GBP,20190101 22:06:23.712,0.89738,0.9017
EUR/GBP,20190101 22:06:23.717,0.89744,0.90171
EUR/GBP,20190101 22:06:23.720,0.8974,0.9017
EUR/GBP,20190101 22:06:23.775,0.89749,0.90171
EUR/GBP,20190101 22:06:23.779,0.89716,0.9017
EUR/GBP,20190101 22:06:23.781,0.89744,0.90171
EUR/GBP,20190101 22:06:23.784,0.89738,0.9017
EUR/GBP,20190101 22:06:23.838,0.89744,0.90173
EUR/GBP,20190101 22:06:23.842,0.89711,0.90169
EUR/GBP,20190101 22:06:23.850,0.89744,0.90173
EUR/GBP,20190101 22:06:23.904,0.89744,0.90171
EUR/GBP,20190101 22:06:23.908,0.89744,0.90173
EUR/GBP,20190101 22:06:23.912,0.89749,0.90171
EUR/GBP,20190101 22:06:23.913,0.89738,0.9017
EUR/GBP,20190101 22:06:23.919,0.8975,0.90171
EUR/GBP,20190101 22:06:23.981,0.89744,0.90173
EUR/GBP,20190101 22:06:23.985,0.89744,0.90171
EUR/GBP,20190101 22:06:23.987,0.89744,0.90173
EUR/GBP,20190101 22:06:23.991,0.89711,0.90169
EUR/GBP,20190101 22:06:24.054,0.89744,0.90171
EUR/GBP,20190101 22:06:24.058,0.89744,0.90173
EUR/GBP,20190101 22:06:24.113,0.8974,0.9017
EUR/GBP,20190101 22:06:24.123,0.89738,0.9017
EUR/GBP,20190101 22:06:24.180,0.89744,0.90173
EUR/GBP,20190101 22:06:24.183,0.89744,0.90171
EUR/GBP,20190101 22:06:24.185,0.89744,0.90173
EUR/GBP,20190101 22:06:24.249,0.89749,0.90171
EUR/GBP,20190101 22:06:24.252,0.89716,0.90172
EUR/GBP,20190101 22:06:24.255,0.89717,0.9017
EUR/GBP,20190101 22:06:24.259,0.89713,0.9017
